,,(in $),,,,,
Rank,Release Group,Worldwide,Domestic,Foreign,year,Domestic %,Foreign %
150,Dying to Survive,"45,11,76,639",0,"45,11,76,639",2018,0.000,100.000
151,"My People, My Country","45,00,64,993","23,56,683","44,77,08,310",2019,0.524,99.476
152,Thor,"44,93,26,618","18,10,30,624","26,82,95,994",2011,40.289,59.711
153,La La Land,"44,74,07,695","15,11,01,803","29,63,05,892",2016,33.773,66.227
154,Les Misérables,"44,22,99,309","14,88,09,770","29,34,89,539",2012,33.645,66.355
155,Terminator Genisys,"44,06,03,537","8,97,60,956","35,08,42,581",2015,20.372,79.628
156,Warcraft,"43,90,48,914","4,73,65,290","39,16,83,624",2016,10.788,89.212
157,A Star Is Born,"43,61,88,866","21,52,88,866","22,09,00,000",2018,49.357,50.643
158,The Greatest Showman,"43,49,93,183","17,43,40,174","26,06,53,009",2017,40.079,59.921
159,Pokémon Detective Pikachu,"43,30,05,346","14,41,05,346","28,89,00,000",2019,33.280,66.720
160,The Secret Life of Pets 2,"43,00,51,293","15,88,74,395","27,11,76,898",2019,36.943,63.057
161,Rampage,"42,80,28,233","10,10,28,233","32,70,00,000",2018,23.603,76.397
162,The Intouchables,"42,65,88,510","1,01,98,820","41,63,89,690",2011,2.391,97.609
163,Bad Boys for Life,"42,65,05,244","20,63,05,244","22,02,00,000",2020,48.371,51.629
164,Django Unchained,"42,53,68,238","16,28,05,434","26,25,62,804",2012,38.274,61.726
165,"My People, My Homeland","42,23,90,820",0,"42,23,90,820",2020,0.000,100.000
166,The Captain,"41,72,82,021","7,06,572","41,65,75,449",2019,0.169,99.831
167,Jason Bourne,"41,54,84,914","16,24,34,410","25,30,50,504",2016,39.095,60.905
168,The Wolverine,"41,48,28,246","13,25,56,852","28,22,71,394",2013,31.955,68.045
169,Kingsman: The Secret Service,"41,43,51,546","12,82,61,724","28,60,89,822",2015,30.955,69.045
170,Pacific Rim,"41,10,02,906","10,18,02,906","30,92,00,000",2013,24.769,75.231
171,Kingsman: The Golden Circle,"41,09,02,662","10,02,34,838","31,06,67,824",2017,24.394,75.606
172,The Mummy,"40,92,31,607","8,02,27,895","32,90,03,712",2017,19.605,80.395
173,Ice Age: Collision Course,"40,85,79,038","6,40,63,008","34,45,16,030",2016,15.679,84.321
174,Alita: Battle Angel,"40,49,80,543","8,58,38,210","31,91,42,333",2019,21.196,78.804
175,Prometheus,"40,33,54,469","12,64,77,084","27,68,77,385",2012,31.356,68.644
176,Snow White and the Huntsman,"39,65,92,829","15,53,32,381","24,12,60,448",2012,39.167,60.833
177,Mamma Mia! Here We Go Again,"39,50,44,706","12,06,34,935","27,44,09,771",2018,30.537,69.463
178,Solo: A Star Wars Story,"39,29,24,807","21,37,67,512","17,91,57,295",2018,54.404,45.596
179,The Wolf of Wall Street,"39,20,00,694","11,69,00,694","27,51,00,000",2013,29.822,70.178
180,Independence Day: Resurgence,"38,96,81,935","10,31,44,286","28,65,37,649",2016,26.469,73.531
181,Monster Hunt,"38,70,53,506","32,766","38,70,20,740",2015,0.008,99.992
182,Godzilla: King of the Monsters,"38,66,00,138","11,05,00,138","27,61,00,000",2019,28.583,71.417
183,Home,"38,60,41,607","17,73,97,510","20,86,44,097",2015,45.953,54.047
184,1917,"38,49,19,389","15,92,27,644","22,56,91,745",2019,41.366,58.634
185,Cars 3,"38,39,30,656","15,29,01,115","23,10,29,541",2017,39.825,60.175
186,Fifty Shades Darker,"38,15,45,846","11,45,81,250","26,69,64,596",2017,30.031,69.969
187,Taken 2,"37,61,41,306","13,98,54,287","23,62,87,019",2012,37.181,62.819
188,G.I. Joe: Retaliation,"37,57,40,705","12,25,23,060","25,32,17,645",2013,32.608,67.392
189,Spider-Man: Into the Spider-Verse,"37,55,40,831","19,02,41,310","18,52,99,521",2018,50.658,49.342
190,Mad Max: Fury Road,"37,47,36,354","15,36,36,354","22,11,00,000",2015,40.999,59.001
191,Once Upon a Time... In Hollywood,"37,43,75,059","14,25,02,728","23,18,72,331",2019,38.064,61.936
