Rank,Release Group,Worldwide,Domestic,Foreign,filename,year,Domestic %,Foreign %
83,The Hunger Games,694394724,408010692,286384032,2012.csv,2012,58.757746552233314,41.24225344776669
84,Mission: Impossible - Rogue Nation,682714267,195042377,487671890,2015.csv,2015,28.56866868434727,71.43133131565274
85,Interstellar,677896797,188020017,489876780,2014.csv,2014,27.735787782457983,72.26421221754201
86,Doctor Strange,677718395,232641920,445076475,2016.csv,2016,34.32722524817996,65.67277475182004
87,Man of Steel,668045518,291045518,377000000,2013.csv,2013,43.56671965577052,56.43328034422947
88,Kung Fu Panda 2,665692281,165249063,500443218,2011.csv,2011,24.823641150196842,75.17635884980317
89,The Hunger Games: Mockingjay - Part 2,658344137,281723902,376620235,2015.csv,2015,42.792801844303504,57.207198155696496
90,Justice League,657924295,229024295,428900000,2017.csv,2017,34.81012887660578,65.18987112339421
91,Big Hero 6,657827828,222527828,435300000,2014.csv,2014,33.827670178769026,66.17232982123097
92,Fantastic Beasts: The Crimes of Grindelwald,654855901,159555901,495300000,2018.csv,2018,24.365039813545177,75.63496018645482
93,Thor: The Dark World,644783140,206362140,438421000,2013.csv,2013,32.004890822672564,67.99510917732744
94,Moana,643331111,248757044,394574067,2016.csv,2016,38.667031602642325,61.33296839735767
95,Sing,634151679,270395425,363756254,2016.csv,2016,42.63891967082532,57.36108032917468
96,The Martian,630161890,228433663,401728227,2015.csv,2015,36.24999648899745,63.750003511002554
97,Fast Five,626137675,209837675,416300000,2011.csv,2011,33.51302491101498,66.48697508898502
98,Men in Black 3,624026776,179020854,445005922,2012.csv,2012,28.68800841328001,71.31199158672
99,Ant-Man and the Wasp,622674139,216648740,406025399,2018.csv,2018,34.79327732285988,65.20672267714012
100,How to Train Your Dragon 2,621537519,177002924,444534595,2014.csv,2014,28.478236403939437,71.52176359606057
101,Logan,619021436,226277068,392744368,2017.csv,2017,36.55399552270109,63.446004477298914
102,Life of Pi,609016565,124987023,484029542,2012.csv,2012,20.522762463776335,79.47723753622367
103,Transformers: The Last Knight,605425157,130168683,475256474,2017.csv,2017,21.500375644284635,78.49962435571537
104,The Croods,587204668,187168425,400036243,2013.csv,2013,31.874478388853678,68.12552161114633
105,The Hangover Part II,586764305,254464305,332300000,2011.csv,2011,43.367379854505636,56.632620145494364
106,Ready Player One,582890172,137690172,445200000,2018.csv,2018,23.62197522177471,76.37802477822528
107,Operation Red Sea,579330426,1543547,577786879,2018.csv,2018,0.2664363773636843,99.73356362263631
108,Fifty Shades of Grey,569651467,166167230,403484237,2015.csv,2015,29.16998193212763,70.83001806787237
109,Kong: Skull Island,566652812,168052812,398600000,2017.csv,2017,29.657103686975084,70.34289631302492
110,The Smurfs,563749323,142614158,421135165,2011.csv,2011,25.297441997992433,74.70255800200756
111,Cars 2,559852396,191452396,368400000,2011.csv,2011,34.196941438114344,65.80305856188566
112,Puss in Boots,554987477,149260504,405726973,2011.csv,2011,26.894391348581724,73.10560865141828
113,The Mermaid,553810228,3232685,550577543,2016.csv,2016,0.5837170995693493,99.41628290043066
114,Ted,549368315,218815487,330552828,2012.csv,2012,39.8303799155217,60.16962008447829
115,American Sniper,547426372,350126372,197300000,2014.csv,2014,63.9586234621521,36.04137653784791
116,Detective Chinatown 2,544185156,1983984,542201172,2018.csv,2018,0.36457885301083076,99.63542114698917
117,X-Men: Apocalypse,543934105,155442489,388491616,2016.csv,2016,28.577448549581202,71.4225514504188
118,Sherlock Holmes: A Game of Shadows,543848418,186848418,357000000,2011.csv,2011,34.35670893134785,65.64329106865215
119,Cinderella,542351353,201151353,341200000,2015.csv,2015,37.08875286976559,62.911247130234415
120,World War Z,540007876,202359711,337648165,2013.csv,2013,37.473473997997765,62.526526002002235
121,Brave,538983207,237283207,301700000,2012.csv,2012,44.024230053609074,55.975769946390926
122,The Revenant,532950503,183637894,349312609,2015.csv,2015,34.45683848055211,65.54316151944789
123,The Meg,530243742,145443742,384800000,2018.csv,2018,27.42960085703378,72.57039914296621
124,Ralph Breaks the Internet,529323962,201091711,328232251,2018.csv,2018,37.99029052835511,62.00970947164489
125,Hotel Transylvania 3: Summer Vacation,528583774,167510016,361073758,2018.csv,2018,31.690343941583045,68.30965605841696
126,The Boss Baby,527965936,175003033,352962903,2017.csv,2017,33.1466522870521,66.85334771294791
127,Dunkirk,525245546,188045546,337200000,2017.csv,2017,35.80145465907482,64.19854534092518
128,Godzilla,524976069,200676069,324300000,2014.csv,2014,38.225755582013015,61.77424441798699
129,How to Train Your Dragon: The Hidden World,521799505,160799505,361000000,2019.csv,2019,30.81633912243746,69.18366087756255
130,Kung Fu Panda 3,521170825,143528619,377642206,2016.csv,2016,27.539649595696382,72.46035040430363
131,Ant-Man,519311965,180202163,339109802,2015.csv,2015,34.70017545234106,65.29982454765893
132,The Grinch,511595957,270620950,240975007,2018.csv,2018,52.89739809261237,47.10260190738763
133,Rio 2,498781117,131538435,367242682,2014.csv,2014,26.37197570572825,73.62802429427175
134,Oz the Great and Powerful,493311825,234911825,258400000,2013.csv,2013,47.619337930932424,52.380662069067576
